model,fold_mean,fold_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std
Baseline,3.0,1.5811388300841898,0.5668259523370962,0.007839120254328473,0.5525713725610382,0.02410429135519914,0.5344673411751982,0.017657937070896794,0.543310733090931,0.0199852774580977,0.5845591180610767,0.007106609699695332,0.860941637008404,0.01532239993995935
CF-SVD,3.0,1.5811388300841898,0.5519327860081222,0.007948324686050268,0.5354192608572811,0.014453232516948652,0.5396122300648982,0.014714225437532518,0.5373692989751183,0.010791645536717907,0.5724557843823017,0.01366189842060873,1.1163848770751348,0.034601612137058535
Hybrid(w=0.00),2.5,1.2909944487358056,0.601733580243665,0.013952000305851973,0.5967080392501543,0.04223338240037247,0.5505155351410715,0.026104931954804986,0.5715275579833206,0.017260715429090485,0.6365006971322562,0.02027509877941749,0.66501228199296,0.007919638392075774
Hybrid(w=0.10),5.0,,0.6070257611241218,,0.5985247629083246,,0.5536062378167641,,0.5751898734177214,,0.6416801572109815,,0.6614581617053349,
LogReg,3.0,1.5811388300841898,0.6022299555298266,0.012133658826769042,0.5968497467930189,0.03657655460634028,0.5485995626157811,0.023009896954616853,0.5707770335989327,0.015042129407129687,0.6358504908243443,0.017618841167925746,0.6650715451996717,0.006859888106542204
