metric,mean_base,mean_abl,delta,lo_base,hi_base,lo_abl,hi_abl
ndcg,0.576721577512305,0.6528866135842815,0.07616503607197644,0.5089889419471069,0.6405435570273134,0.5940202958016825,0.708866317782599
prec,0.5944444444444444,0.6444444444444444,0.04999999999999993,0.5388888888888889,0.6444444444444444,0.5944444444444444,0.6999999999999998
rec,0.5944444444444444,0.6444444444444444,0.04999999999999993,0.5333333333333333,0.6499999999999999,0.5944444444444443,0.7001388888888886
