student_id,policy,prec,rec,ndcg
S000,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S000,cf,1.0,1.0,1.0
S000,logreg,0.6666666666666666,0.6666666666666666,0.7039180890341347
S000,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S001,baseline,0.3333333333333333,0.3333333333333333,0.23463936301137822
S001,cf,0.3333333333333333,0.3333333333333333,0.2960819109658652
S001,logreg,0.3333333333333333,0.3333333333333333,0.23463936301137822
S001,hybrid,0.3333333333333333,0.3333333333333333,0.23463936301137822
S002,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S002,cf,0.6666666666666666,0.6666666666666666,0.7039180890341347
S002,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S002,hybrid,0.6666666666666666,0.6666666666666666,0.7039180890341347
S003,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S003,cf,0.6666666666666666,0.6666666666666666,0.7653606369886217
S003,logreg,0.6666666666666666,0.6666666666666666,0.7039180890341347
S003,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S004,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S004,cf,0.3333333333333333,0.3333333333333333,0.46927872602275644
S004,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S004,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S005,baseline,0.3333333333333333,0.3333333333333333,0.46927872602275644
S005,cf,0.3333333333333333,0.3333333333333333,0.2960819109658652
S005,logreg,0.3333333333333333,0.3333333333333333,0.2960819109658652
S005,hybrid,0.3333333333333333,0.3333333333333333,0.2960819109658652
S006,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S006,cf,0.6666666666666666,0.6666666666666666,0.7653606369886217
S006,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S006,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S007,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S007,cf,0.0,0.0,0.0
S007,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S007,hybrid,0.3333333333333333,0.3333333333333333,0.2960819109658652
S008,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S008,cf,0.0,0.0,0.0
S008,logreg,0.0,0.0,0.0
S008,hybrid,0.0,0.0,0.0
S009,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S009,cf,0.6666666666666666,0.6666666666666666,0.5307212739772434
S009,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S009,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S010,baseline,0.0,0.0,0.0
S010,cf,0.0,0.0,0.0
S010,logreg,0.3333333333333333,0.3333333333333333,0.23463936301137822
S010,hybrid,0.3333333333333333,0.3333333333333333,0.23463936301137822
S011,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S011,cf,0.6666666666666666,0.6666666666666666,0.5307212739772434
S011,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S011,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S012,baseline,0.6666666666666666,0.6666666666666666,0.7039180890341347
S012,cf,0.6666666666666666,0.6666666666666666,0.5307212739772434
S012,logreg,0.6666666666666666,0.6666666666666666,0.7039180890341347
S012,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S013,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S013,cf,0.6666666666666666,0.6666666666666666,0.5307212739772434
S013,logreg,0.3333333333333333,0.3333333333333333,0.2960819109658652
S013,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S014,baseline,0.6666666666666666,0.6666666666666666,0.7039180890341347
S014,cf,0.3333333333333333,0.3333333333333333,0.46927872602275644
S014,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S014,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S015,baseline,0.3333333333333333,0.3333333333333333,0.46927872602275644
S015,cf,0.6666666666666666,0.6666666666666666,0.7039180890341347
S015,logreg,0.6666666666666666,0.6666666666666666,0.7039180890341347
S015,hybrid,0.3333333333333333,0.3333333333333333,0.46927872602275644
S016,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S016,cf,1.0,1.0,1.0
S016,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S016,hybrid,0.6666666666666666,0.6666666666666666,0.7039180890341347
S017,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S017,cf,0.3333333333333333,0.3333333333333333,0.2960819109658652
S017,logreg,0.6666666666666666,0.6666666666666666,0.5307212739772434
S017,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S018,baseline,1.0,1.0,1.0
S018,cf,1.0,1.0,1.0
S018,logreg,1.0,1.0,1.0
S018,hybrid,1.0,1.0,1.0
S019,baseline,1.0,1.0,1.0
S019,cf,1.0,1.0,1.0
S019,logreg,1.0,1.0,1.0
S019,hybrid,1.0,1.0,1.0
S020,baseline,1.0,1.0,1.0
S020,cf,1.0,1.0,1.0
S020,logreg,0.6666666666666666,0.6666666666666666,0.7039180890341347
S020,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S021,baseline,0.3333333333333333,0.3333333333333333,0.2960819109658652
S021,cf,0.3333333333333333,0.3333333333333333,0.2960819109658652
S021,logreg,0.3333333333333333,0.3333333333333333,0.23463936301137822
S021,hybrid,0.0,0.0,0.0
S022,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S022,cf,1.0,1.0,1.0
S022,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S022,hybrid,0.6666666666666666,0.6666666666666666,0.7653606369886217
S023,baseline,0.3333333333333333,0.3333333333333333,0.23463936301137822
S023,cf,0.3333333333333333,0.3333333333333333,0.23463936301137822
S023,logreg,0.3333333333333333,0.3333333333333333,0.2960819109658652
S023,hybrid,0.3333333333333333,0.3333333333333333,0.2960819109658652
S024,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S024,cf,0.6666666666666666,0.6666666666666666,0.7653606369886217
S024,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S024,hybrid,1.0,1.0,1.0
S025,baseline,0.3333333333333333,0.3333333333333333,0.2960819109658652
S025,cf,0.6666666666666666,0.6666666666666666,0.7039180890341347
S025,logreg,0.3333333333333333,0.3333333333333333,0.2960819109658652
S025,hybrid,0.6666666666666666,0.6666666666666666,0.5307212739772434
S026,baseline,0.6666666666666666,0.6666666666666666,0.5307212739772434
S026,cf,0.6666666666666666,0.6666666666666666,0.7653606369886217
S026,logreg,0.6666666666666666,0.6666666666666666,0.7653606369886217
S026,hybrid,1.0,1.0,1.0
S027,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
S027,cf,1.0,1.0,1.0
S027,logreg,1.0,1.0,1.0
S027,hybrid,1.0,1.0,1.0
S028,baseline,1.0,1.0,1.0
S028,cf,0.3333333333333333,0.3333333333333333,0.23463936301137822
S028,logreg,0.3333333333333333,0.3333333333333333,0.23463936301137822
S028,hybrid,0.3333333333333333,0.3333333333333333,0.23463936301137822
S029,baseline,0.3333333333333333,0.3333333333333333,0.2960819109658652
S029,cf,0.3333333333333333,0.3333333333333333,0.46927872602275644
S029,logreg,0.3333333333333333,0.3333333333333333,0.23463936301137822
S029,hybrid,0.3333333333333333,0.3333333333333333,0.2960819109658652
S030,baseline,0.6666666666666666,0.6666666666666666,0.7653606369886217
